Competencia;Resultado de Aprendizaje;;;
2 - RESULTADOS DE APRENDIZAJE ETAPA PRACTICA;590803 - APLICAR EN LA RESOLUCIÓN DE PROBLEMAS REALES DEL SECTOR PRODUCTIVO, LOS CONOCIMIENTOS, HABILIDADES Y DESTREZAS PERTINENTES A LAS COMPETENCIAS DEL PROGRAMA DE FORMACIÓN ASUMIENDO ESTRATEGIAS Y METODOLOGÍAS DE AUTOGESTIÓN;;;
36180 - Enrique Low Murtra-Interactuar en el contexto productivo y social de acuerdo con principios  éticos para la construcción de una cultura de paz.;593147 - 02  ESTABLECER RELACIONES DE CRECIMIENTO PERSONAL Y COMUNITARIO A PARTIR DEL BIEN COMÚN COMO APORTE PARA EL DESARROLLO SOCIAL.;;;
36180 - Enrique Low Murtra-Interactuar en el contexto productivo y social de acuerdo con principios  éticos para la construcción de una cultura de paz.;593148 - 03  PROMOVER EL USO RACIONAL DE LOS RECURSOS NATURALES A PARTIR DE CRITERIOS DE SOSTENIBILIDAD Y SUSTENTABILIDAD ÉTICA Y NORMATIVA VIGENTE.;;;
36180 - Enrique Low Murtra-Interactuar en el contexto productivo y social de acuerdo con principios  éticos para la construcción de una cultura de paz.;593149 - 01  PROMOVER MI DIGNIDAD Y LA DEL OTRO A PARTIR DE LOS PRINCIPIOS Y VALORES ÉTICOS COMO APORTE EN LA INSTAURACIÓN DE UNA CULTURA DE PAZ.;;;
36180 - Enrique Low Murtra-Interactuar en el contexto productivo y social de acuerdo con principios  éticos para la construcción de una cultura de paz.;593150 - 04  CONTRIBUIR CON EL FORTALECIMIENTO DE LA CULTURA DE PAZ A PARTIR DE LA DIGNIDAD HUMANA Y LAS ESTRATEGIAS PARA LA TRANSFORMACIÓN DE CONFLICTOS.;;;
36182 - Resultado de Aprendizaje de la Inducción.;593343 - 01  IDENTIFICAR LA DINÁMICA ORGANIZACIONAL DEL SENA Y EL ROL DE LA FORMACIÓN PROFESIONAL INTEGRAL DE ACUERDO CON SU PROYECTO DE VIDA Y EL DESARROLLO PROFESIONAL.;;;
37371 - Utilizar herramientas informáticas de acuerdo con las necesidades de manejo de información;593151 - 02  APLICAR FUNCIONALIDADES DE HERRAMIENTAS Y SERVICIOS TIC, DE ACUERDO CON MANUALES DE USO, PROCEDIMIENTOS ESTABLECIDOS Y BUENAS PRÁCTICAS.;;;
37371 - Utilizar herramientas informáticas de acuerdo con las necesidades de manejo de información;593152 - 04  OPTIMIZAR LOS RESULTADOS, DE ACUERDO CON LA VERIFICACIÓN.;;;
37371 - Utilizar herramientas informáticas de acuerdo con las necesidades de manejo de información;593153 - 03  EVALUAR LOS RESULTADOS, DE ACUERDO CON LOS REQUERIMIENTOS.;;;
37371 - Utilizar herramientas informáticas de acuerdo con las necesidades de manejo de información;593154 - 01  ALISTAR HERRAMIENTAS DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN (TIC), DE ACUERDO CON LAS NECESIDADES DE PROCESAMIENTO DE INFORMACIÓN Y COMUNICACIÓN.;;;
38367 - Estructurar propuesta técnica de servicio de tecnología de la información según requisitos técnicos y normativa;593060 - 01  DEFINIR ESPECIFICACIONES TÉCNICAS DEL SOFTWARE DE ACUERDO CON LAS CARACTERÍSTICAS DEL SOFTWARE A CONSTRUIR.;;;
38367 - Estructurar propuesta técnica de servicio de tecnología de la información según requisitos técnicos y normativa;593061 - 03  VALIDAR LAS CONDICIONES DE LA PROPUESTA TÉCNICA DEL SOFTWARE DE ACUERDO CON LOS INTERESES DE LAS PARTES.;;;
38367 - Estructurar propuesta técnica de servicio de tecnología de la información según requisitos técnicos y normativa;593062 - 02  ELABORAR PROPUESTA TÉCNICA DEL SOFTWARE DE ACUERDO CON LAS ESPECIFICACIONES TÉCNICAS DEFINIDAS.;;;
38369 - Controlar la calidad del servicio de software de acuerdo con los estándares técnicos;593144 - 02  VERIFICAR LA CALIDAD DEL SOFTWARE DE ACUERDO CON LAS PRÁCTICAS ASOCIADAS EN LOS PROCESOS DE DESARROLLO.;;;
38369 - Controlar la calidad del servicio de software de acuerdo con los estándares técnicos;593145 - 03  REALIZAR ACTIVIDADES DE MEJORA DE LA CALIDAD DEL SOFTWARE A PARTIR DE LOS RESULTADOS DE LA VERIFICACIÓN.;;;
38369 - Controlar la calidad del servicio de software de acuerdo con los estándares técnicos;593146 - 01  INCORPORAR ACTIVIDADES DE ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE DE ACUERDO CON ESTÁNDARES DE LA INDUSTRIA.;;;
38376 - Evaluar requisitos de la solución de software de acuerdo con metodologías de análisis y estándares;592373 - 02  MODELAR LAS FUNCIONES DEL SOFTWARE DE ACUERDO CON EL INFORME DE REQUISITOS.;;;
38376 - Evaluar requisitos de la solución de software de acuerdo con metodologías de análisis y estándares;592374 - 04  VERIFICAR LOS MODELOS REALIZADOS EN LA FASE DE ANÁLISIS DE ACUERDO CON LO ESTABLECIDO EN EL INFORME DE REQUISITOS.;;;
38376 - Evaluar requisitos de la solución de software de acuerdo con metodologías de análisis y estándares;592375 - 01 PLANEAR ACTIVIDADES DE ANÁLISIS DE ACUERDO CON LA METODOLOGÍA SELECCIONADA.;;;
38376 - Evaluar requisitos de la solución de software de acuerdo con metodologías de análisis y estándares;592376 - 03  DESARROLLAR PROCESOS LÓGICOS A TRAVÉS DE LA IMPLEMENTACIÓN DE ALGORITMOS.;;;
